"","rural_urban","favorite_count","retweet_count","official_private"
"3597","Urban",2,0,"Official"
"3598","Urban",0,1,"Official"
"3599","Urban",1,0,"Official"
"3600","Urban",1,0,"Official"
"3601","Urban",0,0,"Official"
"3602","Urban",0,0,"Official"
"3603","Rural",0,0,"Official"
"3604","Urban",0,0,"Official"
"3605","Urban",0,0,"Official"
"3606","Rural",0,0,"Official"
"3607","Urban",0,0,"Official"
"3608","Urban",1,0,"Official"
"3609","Urban",2,1,"Official"
"3610","Urban",2,0,"Official"
"3611","Urban",1,0,"Official"
"3612","Urban",2,0,"Official"
"3613","Urban",3,0,"Official"
"3614","Urban",9,2,"Official"
"3615","Urban",2,0,"Official"
"3616","Urban",3,0,"Official"
"3617","Urban",0,0,"Official"
"3618","Urban",0,0,"Official"
"3619","Urban",1,1,"Official"
"3620","Rural",0,0,"Official"
"3621","Urban",4,0,"Official"
"3622","Urban",1,0,"Official"
"3623","Urban",0,0,"Official"
"3624","Urban",0,0,"Official"
"3625","Urban",1,0,"Official"
"3626","Urban",1,0,"Official"
"3627","Urban",0,0,"Official"
"3628","Urban",0,0,"Official"
"3629","Rural",0,0,"Official"
"3630","Urban",3,1,"Official"
"3631","Urban",0,0,"Official"
"3632","Urban",1,1,"Official"
"3633","Urban",1,0,"Official"
"3634","Urban",1,0,"Official"
"3635","Urban",0,0,"Official"
"3636","Urban",1,0,"Official"
"3637","Urban",1,0,"Official"
"3638","Urban",1,0,"Official"
"3639","Urban",0,0,"Official"
"3640","Urban",0,0,"Official"
"3641","Urban",0,0,"Official"
"3642","Urban",1,1,"Official"
"3643","Urban",0,0,"Official"
"3644","Urban",0,0,"Official"
"3645","Urban",0,0,"Official"
"3646","Rural",0,0,"Official"
"3647","Urban",2,1,"Official"
"3648","Rural",0,0,"Official"
"3649","Urban",0,0,"Official"
"3650","Urban",0,0,"Official"
"3651","Urban",0,0,"Official"
"3652","Urban",1,1,"Official"
"3653","Rural",0,0,"Official"
"3654","Urban",0,0,"Official"
"3655","Urban",0,0,"Official"
"3656","Urban",1,0,"Official"
"3657","Urban",0,0,"Official"
"3658","Rural",0,0,"Official"
"3659","Urban",0,0,"Official"
"3660","Urban",0,0,"Official"
"3661","Urban",2,0,"Official"
"3662","Urban",1,0,"Official"
"3663","Urban",0,0,"Official"
"3664","Urban",0,0,"Official"
"3665","Rural",1,0,"Official"
"3666","Urban",0,0,"Official"
"3667","Rural",0,0,"Official"
"3668","Rural",0,0,"Official"
"3669","Urban",0,0,"Official"
"3670","Rural",0,0,"Official"
"3671","Urban",0,0,"Official"
"3672","Urban",1,0,"Official"
"3673","Rural",0,0,"Official"
"3674","Urban",0,0,"Official"
"3675","Urban",0,0,"Official"
"3676","Urban",2,0,"Official"
"3677","Urban",0,0,"Official"
"3678","Urban",0,0,"Official"
"3679","Urban",1,0,"Official"
"3680","Urban",0,0,"Official"
"3681","Urban",0,0,"Official"
"3682","Urban",1,0,"Official"
"3683","Urban",0,0,"Official"
"3684","Urban",1,0,"Official"
"3685","Urban",0,1,"Official"
"3686","Urban",0,0,"Official"
"3687","Rural",0,0,"Official"
"3688","Rural",0,0,"Official"
"3689","Urban",0,0,"Official"
"3690","Urban",0,1,"Official"
"3691","Rural",0,0,"Official"
"3692","Urban",0,0,"Official"
"3693","Rural",0,0,"Official"
"3694","Urban",0,0,"Official"
"3695","Urban",0,0,"Official"
"3696","Rural",0,0,"Official"
"3697","Rural",0,0,"Official"
"3698","Rural",1,0,"Official"
"3699","Urban",0,0,"Official"
"3700","Urban",1,0,"Official"
"3701","Urban",1,0,"Official"
"3702","Urban",0,0,"Official"
"3703","Rural",0,0,"Official"
"3704","Urban",0,0,"Official"
"3705","Rural",0,0,"Official"
"3706","Urban",0,0,"Official"
"3707","Rural",0,0,"Official"
"3708","Urban",0,0,"Official"
"3709","Urban",0,0,"Official"
"3710","Urban",0,0,"Official"
"3711","Rural",0,0,"Official"
"3712","Rural",0,0,"Official"
"3713","Rural",0,0,"Official"
"3714","Urban",0,0,"Official"
"3715","Rural",0,0,"Official"
"3716","Urban",0,0,"Official"
"3717","Urban",0,0,"Official"
"3718","Rural",0,0,"Official"
"3719","Urban",0,0,"Official"
"3720","Rural",0,0,"Official"
"3721","Urban",0,0,"Official"
"3722","Rural",0,0,"Official"
"3723","Rural",0,0,"Official"
"3724","Urban",0,0,"Official"
"3725","Urban",0,0,"Official"
"3726","Rural",0,0,"Official"
"3727","Urban",0,0,"Official"
"3728","Urban",0,0,"Official"
"3729","Rural",0,0,"Official"
"3730","Urban",0,0,"Official"
"3731","Rural",0,0,"Official"
"3732","Rural",0,0,"Official"
"3733","Urban",2,1,"Official"
"3734","Rural",0,0,"Official"
"3735","Urban",0,0,"Official"
"3736","Urban",3,1,"Official"
"3737","Rural",0,0,"Official"
"3738","Urban",0,0,"Official"
"3739","Urban",1,1,"Official"
"3740","Rural",0,0,"Official"
"3741","Rural",0,0,"Official"
"3742","Urban",0,0,"Official"
"3743","Urban",0,0,"Official"
"3744","Urban",0,0,"Official"
"3745","Rural",0,0,"Official"
"3746","Urban",0,0,"Official"
"3747","Rural",0,0,"Official"
"3748","Urban",0,0,"Official"
"3749","Rural",0,0,"Official"
"3750","Rural",0,0,"Official"
"3751","Urban",0,0,"Official"
"3752","Urban",1,0,"Official"
"3753","Urban",0,0,"Official"
"3754","Rural",0,0,"Official"
"3755","Rural",0,0,"Official"
"3756","Rural",0,0,"Official"
"3757","Rural",0,0,"Official"
"3758","Urban",0,0,"Official"
"3759","Rural",0,0,"Official"
"3760","Urban",0,0,"Official"
"3761","Rural",0,0,"Official"
"3762","Rural",0,0,"Official"
"3763","Urban",0,0,"Official"
"3764","Urban",0,0,"Official"
"3765","Urban",0,0,"Official"
"3766","Rural",0,0,"Official"
"3767","Rural",0,0,"Official"
"3768","Rural",0,0,"Official"
"3769","Rural",0,0,"Official"
"3770","Rural",0,0,"Official"
"3771","Rural",0,0,"Official"
"3772","Urban",0,0,"Official"
"3773","Rural",0,0,"Official"
"3774","Urban",0,0,"Official"
"3775","Rural",0,0,"Official"
"3776","Urban",2,0,"Official"
"3777","Urban",0,0,"Official"
"3778","Rural",0,0,"Official"
"3779","Rural",0,0,"Official"
"3780","Urban",0,0,"Official"
"3781","Rural",0,0,"Official"
"3782","Rural",0,0,"Official"
"3783","Rural",0,0,"Official"
"3784","Urban",0,1,"Official"
"3785","Urban",0,0,"Official"
"3786","Urban",0,0,"Official"
"3787","Urban",0,0,"Official"
"3788","Urban",0,0,"Official"
"3789","Urban",0,0,"Official"
"3790","Urban",0,0,"Official"
"3791","Urban",0,0,"Official"
"3792","Rural",0,0,"Official"
"3793","Urban",0,0,"Official"
"3794","Rural",0,0,"Official"
"3795","Urban",0,0,"Official"
"3796","Urban",3,0,"Official"
"3797","Urban",0,0,"Official"
"3798","Urban",0,1,"Official"
"3799","Rural",0,0,"Official"
"3800","Urban",0,0,"Official"
"3801","Rural",0,0,"Official"
"3802","Rural",0,0,"Official"
"3803","Urban",0,0,"Official"
"3804","Urban",1,1,"Official"
"3805","Urban",0,0,"Official"
"3806","Urban",0,0,"Official"
"3807","Rural",0,0,"Official"
"3808","Urban",0,0,"Official"
"3809","Urban",0,0,"Official"
"3810","Urban",0,0,"Official"
"3811","Urban",0,2,"Official"
"3812","Rural",1,1,"Official"
"3813","Urban",0,0,"Official"
"3814","Urban",0,0,"Official"
"3815","Urban",0,0,"Official"
"3816","Urban",0,0,"Official"
"3817","Urban",0,0,"Official"
"3818","Urban",0,0,"Official"
"3819","Rural",0,0,"Official"
"3820","Urban",1,0,"Official"
"3821","Urban",0,0,"Official"
"3822","Rural",0,0,"Official"
"3823","Urban",1,1,"Official"
"3824","Rural",0,0,"Official"
"3825","Rural",0,0,"Official"
"3826","Urban",0,0,"Official"
"3827","Urban",1,2,"Official"
"3828","Urban",1,0,"Official"
"3829","Urban",0,0,"Official"
"3830","Urban",0,0,"Official"
"3831","Urban",0,1,"Official"
"3832","Urban",0,0,"Official"
"3833","Rural",0,0,"Official"
"3834","Rural",0,0,"Official"
"3835","Rural",0,0,"Official"
"3836","Rural",0,0,"Official"
"3837","Urban",6,2,"Official"
"3838","Rural",0,0,"Official"
"3839","Urban",0,0,"Official"
"3840","Rural",0,0,"Official"
"3841","Urban",0,1,"Official"
"3842","Urban",1,0,"Official"
"3843","Rural",0,0,"Official"
"3844","Rural",0,0,"Official"
"3845","Urban",0,0,"Official"
"3846","Urban",0,1,"Official"
"3847","Rural",0,0,"Official"
"3848","Urban",1,0,"Official"
"3849","Urban",0,0,"Official"
"3850","Urban",0,0,"Official"
"3851","Urban",1,1,"Official"
"3852","Rural",0,0,"Official"
"3853","Urban",0,0,"Official"
"3854","Urban",0,0,"Official"
"3855","Urban",1,0,"Official"
"3856","Rural",0,0,"Official"
"3857","Urban",0,0,"Official"
"3858","Urban",0,0,"Official"
"3859","Urban",0,0,"Official"
"3860","Rural",0,0,"Official"
"3861","Rural",0,0,"Official"
"3862","Urban",0,0,"Official"
"3863","Rural",0,0,"Official"
"3864","Urban",0,0,"Official"
"3865","Rural",0,0,"Official"
"3866","Urban",0,0,"Official"
"3867","Rural",0,0,"Official"
"3868","Rural",0,0,"Official"
"3869","Urban",0,2,"Official"
"3870","Urban",0,0,"Official"
"3871","Urban",0,0,"Official"
"3872","Urban",0,0,"Official"
"3873","Rural",0,0,"Official"
"3874","Urban",1,0,"Official"
"3875","Rural",0,0,"Official"
"3876","Urban",0,0,"Official"
"3877","Urban",0,0,"Official"
"3878","Urban",0,0,"Official"
"3879","Urban",0,1,"Official"
"3880","Urban",0,0,"Official"
"3881","Rural",0,0,"Official"
"3882","Urban",0,0,"Official"
"3883","Rural",0,0,"Official"
"3884","Urban",0,0,"Official"
"3885","Rural",1,0,"Official"
"3886","Urban",0,0,"Official"
"3887","Rural",0,0,"Official"
"3888","Rural",0,0,"Official"
"3889","Urban",0,0,"Official"
"3890","Rural",0,0,"Official"
"3891","Rural",0,0,"Official"
"3892","Urban",0,0,"Official"
"3893","Urban",0,0,"Official"
"3894","Urban",1,0,"Official"
"3895","Rural",1,0,"Official"
"3896","Urban",0,0,"Official"
"3897","Rural",0,0,"Official"
"3898","Rural",0,0,"Official"
"3899","Urban",0,2,"Official"
"3900","Rural",0,0,"Official"
"3901","Urban",0,0,"Official"
"3902","Urban",0,0,"Official"
"3903","Urban",0,0,"Official"
"3904","Rural",0,0,"Official"
"3905","Rural",1,0,"Official"
"3906","Rural",0,0,"Official"
"3907","Rural",0,0,"Official"
"3908","Rural",0,0,"Official"
"3909","Urban",0,1,"Official"
"3910","Urban",0,0,"Official"
"3911","Urban",0,0,"Official"
"3912","Rural",0,0,"Official"
"3913","Urban",0,0,"Official"
"3914","Urban",0,0,"Official"
"3915","Rural",0,0,"Official"
"3916","Urban",0,0,"Official"
"3917","Urban",0,0,"Official"
"3918","Urban",0,0,"Official"
"3919","Urban",0,0,"Official"
"3920","Urban",0,0,"Official"
"3921","Rural",0,0,"Official"
"3922","Rural",1,0,"Official"
"3923","Urban",0,0,"Official"
"3924","Rural",0,0,"Official"
"3925","Rural",0,0,"Official"
"3926","Urban",0,0,"Official"
"3927","Urban",0,0,"Official"
"3928","Urban",0,0,"Official"
"3929","Rural",0,0,"Official"
"3930","Urban",0,0,"Official"
"3931","Urban",0,0,"Official"
"3932","Urban",0,0,"Official"
"3933","Urban",0,0,"Official"
"3934","Urban",0,0,"Official"
"3935","Urban",0,0,"Official"
"3936","Urban",0,0,"Official"
"3937","Rural",0,0,"Official"
"3938","Rural",0,0,"Official"
"3939","Urban",0,0,"Official"
"3940","Rural",1,0,"Official"
"3941","Rural",0,0,"Official"
"3942","Rural",0,0,"Official"
"3943","Urban",0,1,"Official"
"3944","Urban",0,2,"Official"
"3945","Urban",0,0,"Official"
"3946","Rural",0,0,"Official"
"3947","Urban",0,0,"Official"
"3948","Urban",0,0,"Official"
"3949","Urban",0,0,"Official"
"3950","Urban",1,0,"Official"
"3951","Rural",0,0,"Official"
"3952","Rural",1,0,"Official"
"3953","Urban",1,0,"Official"
"3954","Rural",0,0,"Official"
"3955","Urban",0,0,"Official"
"3956","Urban",0,0,"Official"
"3957","Rural",0,0,"Official"
"3958","Urban",0,0,"Official"
"3959","Urban",0,0,"Official"
"3960","Rural",0,0,"Official"
"3961","Urban",0,0,"Official"
"3962","Urban",0,1,"Official"
"3963","Urban",0,0,"Official"
"3964","Rural",0,0,"Official"
"3965","Rural",0,0,"Official"
"3966","Urban",0,2,"Official"
"3967","Rural",0,0,"Official"
"3968","Urban",0,1,"Official"
"3969","Rural",0,0,"Official"
"3970","Urban",0,1,"Official"
"3971","Urban",1,2,"Official"
"3972","Rural",0,0,"Official"
"3973","Urban",0,0,"Official"
"3974","Urban",2,1,"Official"
"3975","Urban",1,0,"Official"
"3976","Urban",0,0,"Official"
"3977","Rural",0,0,"Official"
"3978","Urban",0,0,"Official"
"3979","Urban",0,0,"Official"
"3980","Urban",0,0,"Official"
"3981","Urban",0,0,"Official"
"3982","Rural",0,0,"Official"
"3983","Urban",0,0,"Official"
"3984","Urban",0,0,"Official"
"3985","Rural",0,1,"Official"
"3986","Urban",1,1,"Official"
"3987","Urban",2,0,"Official"
"3988","Urban",0,0,"Official"
"3989","Urban",0,0,"Official"
"3990","Rural",0,0,"Official"
"3991","Rural",0,0,"Official"
"3992","Urban",0,0,"Official"
"3993","Urban",0,0,"Official"
"3994","Urban",0,0,"Official"
"3995","Urban",0,0,"Official"
"3996","Urban",0,0,"Official"
"3997","Urban",0,0,"Official"
"3998","Rural",0,0,"Official"
"3999","Rural",0,0,"Official"
"4000","Urban",0,0,"Official"
"4001","Urban",1,0,"Official"
"4002","Urban",0,1,"Official"
"4003","Urban",0,0,"Official"
"4004","Urban",0,0,"Official"
"4005","Rural",0,0,"Official"
"4006","Rural",0,0,"Official"
"4007","Urban",0,1,"Official"
"4008","Rural",0,0,"Official"
"4009","Rural",0,1,"Official"
"4010","Urban",0,0,"Official"
"4011","Rural",0,0,"Official"
"4012","Urban",0,0,"Official"
"4013","Rural",0,0,"Official"
"4014","Urban",0,0,"Official"
"4015","Rural",0,0,"Official"
"4016","Urban",0,0,"Official"
"4017","Urban",1,0,"Official"
"4018","Rural",0,0,"Official"
"4019","Urban",0,0,"Official"
"4020","Urban",0,0,"Official"
"4021","Urban",0,0,"Official"
"4022","Urban",0,0,"Official"
"4023","Urban",0,0,"Official"
"4024","Urban",0,0,"Official"
"4025","Urban",0,0,"Official"
"4026","Urban",1,1,"Official"
"4027","Urban",0,0,"Official"
"4028","Urban",1,0,"Official"
"4029","Urban",0,0,"Official"
"4030","Urban",1,0,"Official"
"4031","Urban",0,0,"Official"
"4032","Urban",0,0,"Official"
"4033","Rural",0,0,"Official"
"4034","Rural",0,0,"Official"
"4035","Urban",0,0,"Official"
"4036","Urban",0,0,"Official"
"4037","Rural",0,0,"Official"
"4038","Urban",0,0,"Official"
"4039","Urban",0,0,"Official"
"4040","Urban",1,0,"Official"
"4041","Urban",0,0,"Official"
"4042","Urban",1,0,"Official"
"4043","Urban",0,0,"Official"
"4044","Urban",1,0,"Official"
"4045","Urban",1,0,"Official"
"4046","Urban",0,0,"Official"
"4047","Urban",0,0,"Official"
"4048","Urban",0,1,"Official"
"4049","Urban",0,0,"Official"
"4050","Urban",0,0,"Official"
"4051","Urban",2,0,"Official"
"4052","Urban",0,1,"Official"
"4053","Urban",3,0,"Official"
"4054","Urban",1,0,"Official"
"4055","Urban",1,0,"Official"
"4056","Urban",1,0,"Official"
"4057","Urban",1,0,"Official"
"4058","Urban",0,0,"Official"
"4059","Rural",0,0,"Official"
"4060","Urban",0,0,"Official"
"4061","Urban",5,1,"Official"
"4062","Urban",1,0,"Official"
"4063","Urban",1,0,"Official"
"4064","Rural",0,0,"Official"
"4065","Urban",0,0,"Official"
"4066","Urban",0,0,"Official"
"4067","Urban",1,0,"Official"
"4068","Urban",0,0,"Official"
"4069","Rural",0,0,"Official"
"4070","Urban",1,1,"Official"
"4071","Urban",0,0,"Official"
"4072","Urban",8,2,"Official"
"4073","Urban",0,0,"Official"
"4074","Urban",1,0,"Official"
"4075","Urban",3,0,"Official"
"4076","Urban",0,0,"Official"
"4077","Urban",0,0,"Official"
"4078","Urban",1,0,"Official"
"4079","Rural",0,0,"Official"
"4080","Rural",0,0,"Official"
"4081","Urban",0,0,"Official"
"4082","Rural",0,0,"Official"
"4083","Rural",0,0,"Official"
"4084","Rural",0,0,"Official"
"4085","Urban",0,0,"Official"
"4086","Rural",0,0,"Official"
"4087","Urban",0,0,"Official"
"4088","Urban",0,0,"Official"
"4089","Urban",0,0,"Official"
"4090","Urban",0,0,"Official"
"4091","Rural",0,0,"Official"
"4092","Urban",6,2,"Official"
"4093","Urban",0,0,"Official"
"4094","Urban",0,1,"Official"
"4095","Rural",0,0,"Official"
"4096","Rural",0,0,"Official"
"4097","Urban",0,0,"Official"
"4098","Rural",0,0,"Official"
"4099","Urban",0,0,"Official"
"4100","Urban",0,0,"Official"
"4101","Rural",2,0,"Official"
"4102","Urban",0,0,"Official"
"4103","Rural",0,0,"Official"
"4104","Urban",0,0,"Official"
"4105","Urban",0,0,"Official"
"4106","Rural",0,0,"Official"
"4107","Rural",0,0,"Official"
"4108","Rural",0,0,"Official"
"4109","Urban",1,0,"Official"
"4110","Urban",0,0,"Official"
"4111","Urban",0,0,"Official"
"4112","Urban",0,1,"Official"
"4113","Urban",2,0,"Official"
"4114","Urban",1,0,"Official"
"4115","Urban",1,0,"Official"
"4116","Rural",0,0,"Official"
"4117","Rural",0,0,"Official"
"4118","Urban",5,1,"Official"
"4119","Urban",1,1,"Official"
"4120","Urban",0,0,"Official"
"4121","Urban",1,0,"Official"
"4122","Urban",3,1,"Official"
"4123","Urban",0,0,"Official"
"4124","Urban",2,0,"Official"
"4125","Urban",0,0,"Official"
"4126","Urban",2,3,"Official"
"4127","Urban",1,0,"Official"
"4128","Urban",1,0,"Official"
"4129","Urban",3,1,"Official"
"4130","Urban",1,7,"Official"
"4131","Urban",7,5,"Official"
"4132","Urban",0,0,"Official"
"4133","Urban",4,5,"Official"
"4134","Urban",0,0,"Official"
"4135","Urban",5,1,"Official"
"4136","Urban",2,0,"Official"
"4137","Urban",2,2,"Official"
"4138","Urban",0,1,"Official"
"4139","Urban",0,0,"Official"
"4140","Urban",0,1,"Official"
"4141","Rural",0,0,"Official"
"4142","Urban",0,2,"Official"
"4143","Urban",0,3,"Official"
"4144","Urban",5,3,"Official"
"4145","Urban",0,0,"Official"
"4146","Urban",0,1,"Official"
"4147","Rural",0,0,"Official"
"4148","Urban",0,2,"Official"
"4149","Urban",1,1,"Official"
"4150","Urban",2,0,"Official"
"4151","Urban",4,5,"Official"
"4152","Urban",1,0,"Official"
"4153","Urban",3,5,"Official"
"4154","Urban",4,3,"Official"
"4155","Urban",2,0,"Official"
"4156","Urban",0,0,"Official"
"4157","Rural",0,0,"Official"
"4158","Urban",2,2,"Official"
"4159","Urban",0,0,"Official"
"4160","Urban",4,0,"Official"
"4161","Urban",3,0,"Official"
"4162","Urban",3,3,"Official"
"4163","Urban",2,0,"Official"
"4164","Urban",0,3,"Official"
"4165","Urban",4,1,"Official"
"4166","Urban",0,0,"Official"
"4167","Urban",0,0,"Official"
"4168","Urban",2,3,"Official"
"4169","Urban",1,2,"Official"
"4170","Urban",2,3,"Official"
"4171","Urban",4,3,"Official"
"4172","Urban",1,2,"Official"
"4173","Urban",1,0,"Official"
"4174","Urban",2,0,"Official"
"4175","Rural",0,0,"Official"
"4176","Rural",0,0,"Official"
"4177","Rural",0,0,"Official"
"4178","Urban",0,2,"Official"
"4179","Urban",0,2,"Official"
"4180","Urban",0,0,"Official"
"4181","Urban",1,2,"Official"
"4182","Urban",2,4,"Official"
"4183","Urban",0,3,"Official"
"4184","Urban",0,0,"Official"
"4185","Urban",0,0,"Official"
"4186","Urban",0,0,"Official"
"4187","Urban",0,2,"Official"
"4188","Urban",0,2,"Official"
"4189","Urban",0,0,"Official"
"4190","Urban",0,2,"Official"
"4191","Urban",0,0,"Official"
"4192","Rural",0,0,"Official"
"4193","Urban",0,2,"Official"
"4194","Urban",0,2,"Official"
"4195","Urban",0,4,"Official"
"4196","Urban",3,3,"Official"
"4197","Rural",0,0,"Official"
"4198","Urban",1,0,"Official"
"4199","Urban",0,0,"Official"
"4200","Urban",0,0,"Official"
"4201","Urban",0,0,"Official"
"4202","Urban",4,10,"Official"
"4203","Urban",0,0,"Official"
"4204","Rural",0,0,"Official"
"4205","Urban",2,1,"Official"
"4206","Rural",0,0,"Official"
"4207","Urban",0,1,"Official"
"4208","Urban",0,0,"Official"
"4209","Urban",1,2,"Official"
"4210","Urban",2,2,"Official"
"4211","Urban",0,1,"Official"
"4212","Urban",0,2,"Official"
"4213","Urban",0,0,"Official"
"4214","Urban",0,1,"Official"
"4215","Rural",0,1,"Official"
"4216","Rural",0,0,"Official"
"4217","Urban",0,2,"Official"
"4218","Urban",0,1,"Official"
"4219","Urban",0,1,"Official"
"4220","Urban",3,3,"Official"
"4221","Urban",2,5,"Official"
"4222","Rural",0,0,"Official"
"4223","Urban",1,2,"Official"
"4224","Urban",13,4,"Official"
"4225","Rural",0,0,"Official"
"4226","Rural",0,0,"Official"
"4227","Rural",0,0,"Official"
"4228","Urban",1,3,"Official"
"4229","Urban",0,1,"Official"
"4230","Urban",0,0,"Official"
"4231","Rural",0,0,"Official"
"4232","Urban",5,10,"Official"
"4233","Urban",0,2,"Official"
"4234","Urban",4,7,"Official"
"4235","Urban",0,7,"Official"
"4236","Urban",1,0,"Official"
"4237","Urban",3,7,"Official"
"4238","Urban",0,0,"Official"
"4239","Urban",0,0,"Official"
"4240","Urban",3,7,"Official"
"4241","Rural",0,1,"Official"
"4242","Urban",0,1,"Official"
"4243","Rural",0,0,"Official"
"4244","Rural",0,0,"Official"
"4245","Urban",0,2,"Official"
"4246","Urban",1,1,"Official"
"4247","Urban",2,1,"Official"
"4248","Rural",0,0,"Official"
"4249","Rural",0,0,"Official"
"4250","Urban",0,1,"Official"
"4251","Urban",7,0,"Official"
"4252","Urban",3,5,"Official"
"4253","Urban",0,0,"Official"
"4254","Rural",695,104,"Personal"
"4255","Rural",387,116,"Personal"
"4256","Rural",274,36,"Personal"
"4257","Urban",203,25,"Personal"
"4258","Rural",167,30,"Personal"
"4259","Urban",166,39,"Personal"
"4260","Urban",117,14,"Personal"
"4261","Rural",108,9,"Personal"
"4262","Urban",107,1,"Personal"
"4263","Rural",101,16,"Personal"
"4264","Rural",70,4,"Personal"
"4265","Rural",68,42,"Personal"
"4266","Rural",68,6,"Personal"
"4267","Rural",62,11,"Personal"
"4268","Urban",61,4,"Personal"
"4269","Rural",55,12,"Personal"
"4270","Urban",51,26,"Personal"
"4271","Rural",50,13,"Personal"
"4272","Urban",47,8,"Personal"
"4273","Rural",46,21,"Personal"
"4274","Urban",44,13,"Personal"
"4275","Rural",43,20,"Personal"
"4276","Rural",42,16,"Personal"
"4277","Urban",42,20,"Personal"
"4278","Rural",40,7,"Personal"
"4279","Urban",39,4,"Personal"
"4280","Urban",38,10,"Personal"
"4281","Urban",37,4,"Personal"
"4282","Urban",36,5,"Personal"
"4283","Urban",36,3,"Personal"
"4284","Rural",34,5,"Personal"
"4285","Urban",34,1,"Personal"
"4286","Urban",33,6,"Personal"
"4287","Urban",33,5,"Personal"
"4288","Rural",32,11,"Personal"
"4289","Rural",32,10,"Personal"
"4290","Urban",32,18,"Personal"
"4291","Urban",31,3,"Personal"
"4292","Urban",31,4,"Personal"
"4293","Urban",30,11,"Personal"
"4294","Urban",30,8,"Personal"
"4295","Urban",30,1,"Personal"
"4296","Rural",29,8,"Personal"
"4297","Rural",29,4,"Personal"
"4298","Rural",29,1,"Personal"
"4299","Urban",29,10,"Personal"
"4300","Urban",29,8,"Personal"
"4301","Rural",28,6,"Personal"
"4302","Urban",28,3,"Personal"
"4303","Urban",28,2,"Personal"
"4304","Rural",28,6,"Personal"
"4305","Rural",27,4,"Personal"
"4306","Rural",27,4,"Personal"
"4307","Urban",26,6,"Personal"
"4308","Rural",26,2,"Personal"
"4309","Rural",25,9,"Personal"
"4310","Rural",25,7,"Personal"
"4311","Rural",25,6,"Personal"
"4312","Rural",25,5,"Personal"
"4313","Rural",25,3,"Personal"
"4314","Rural",24,5,"Personal"
"4315","Urban",24,18,"Personal"
"4316","Rural",24,0,"Personal"
"4317","Rural",23,16,"Personal"
"4318","Rural",23,10,"Personal"
"4319","Rural",23,5,"Personal"
"4320","Rural",23,5,"Personal"
"4321","Urban",23,5,"Personal"
"4322","Urban",23,3,"Personal"
"4323","Rural",23,3,"Personal"
"4324","Urban",22,7,"Personal"
"4325","Urban",22,5,"Personal"
"4326","Rural",21,13,"Personal"
"4327","Rural",21,6,"Personal"
"4328","Rural",21,5,"Personal"
"4329","Rural",21,3,"Personal"
"4330","Urban",21,7,"Personal"
"4331","Urban",21,3,"Personal"
"4332","Rural",21,1,"Personal"
"4333","Rural",20,4,"Personal"
"4334","Urban",20,4,"Personal"
"4335","Urban",20,2,"Personal"
"4336","Rural",19,17,"Personal"
"4337","Urban",19,4,"Personal"
"4338","Rural",18,24,"Personal"
"4339","Urban",18,1,"Personal"
"4340","Urban",18,1,"Personal"
"4341","Rural",18,0,"Personal"
"4342","Urban",17,3,"Personal"
"4343","Urban",17,1,"Personal"
"4344","Urban",17,0,"Personal"
"4345","Rural",17,3,"Personal"
"4346","Rural",16,9,"Personal"
"4347","Rural",16,4,"Personal"
"4348","Urban",16,3,"Personal"
"4349","Urban",16,2,"Personal"
"4350","Urban",16,8,"Personal"
"4351","Urban",16,3,"Personal"
"4352","Urban",16,3,"Personal"
"4353","Urban",16,2,"Personal"
"4354","Urban",16,0,"Personal"
"4355","Rural",16,0,"Personal"
"4356","Rural",15,3,"Personal"
"4357","Rural",15,3,"Personal"
"4358","Rural",15,1,"Personal"
"4359","Urban",15,9,"Personal"
"4360","Urban",15,6,"Personal"
"4361","Urban",15,4,"Personal"
"4362","Urban",15,0,"Personal"
"4363","Urban",15,3,"Personal"
"4364","Rural",15,2,"Personal"
"4365","Rural",15,1,"Personal"
"4366","Rural",14,9,"Personal"
"4367","Rural",14,5,"Personal"
"4368","Rural",14,4,"Personal"
"4369","Rural",14,2,"Personal"
"4370","Rural",14,0,"Personal"
"4371","Rural",14,0,"Personal"
"4372","Rural",14,0,"Personal"
"4373","Rural",14,0,"Personal"
"4374","Urban",14,11,"Personal"
"4375","Urban",14,4,"Personal"
"4376","Urban",14,1,"Personal"
"4377","Urban",14,0,"Personal"
"4378","Urban",14,11,"Personal"
"4379","Urban",14,7,"Personal"
"4380","Urban",14,6,"Personal"
"4381","Urban",14,5,"Personal"
"4382","Urban",14,1,"Personal"
"4383","Urban",14,1,"Personal"
"4384","Urban",14,1,"Personal"
"4385","Rural",14,0,"Personal"
"4386","Rural",13,0,"Personal"
"4387","Rural",13,2,"Personal"
"4388","Urban",13,4,"Personal"
"4389","Urban",13,2,"Personal"
"4390","Urban",13,1,"Personal"
"4391","Urban",13,5,"Personal"
"4392","Urban",13,4,"Personal"
"4393","Urban",13,2,"Personal"
"4394","Urban",13,2,"Personal"
"4395","Urban",13,1,"Personal"
"4396","Urban",13,0,"Personal"
"4397","Urban",13,0,"Personal"
"4398","Rural",13,2,"Personal"
"4399","Rural",12,2,"Personal"
"4400","Rural",12,0,"Personal"
"4401","Rural",12,0,"Personal"
"4402","Urban",12,11,"Personal"
"4403","Urban",12,2,"Personal"
"4404","Urban",12,4,"Personal"
"4405","Urban",12,2,"Personal"
"4406","Urban",12,1,"Personal"
"4407","Rural",12,7,"Personal"
"4408","Rural",12,4,"Personal"
