"","rural_urban","favorite_count","retweet_count","official_private"
"199","Urban",1,9,"Official"
"200","Urban",3,1,"Official"
"201","Urban",3,2,"Official"
"202","Urban",2,5,"Official"
"203","Urban",3,4,"Official"
"204","Urban",1,1,"Official"
"205","Urban",0,2,"Official"
"206","Urban",1,4,"Official"
"207","Urban",12,11,"Official"
"208","Urban",1,3,"Official"
"209","Urban",4,3,"Official"
"210","Urban",4,1,"Official"
"211","Urban",1,6,"Official"
"212","Urban",4,12,"Official"
"213","Urban",0,4,"Official"
"214","Urban",8,24,"Official"
"215","Urban",12,24,"Official"
"216","Urban",0,3,"Official"
"217","Urban",7,3,"Official"
"218","Rural",0,0,"Official"
"219","Urban",0,5,"Official"
"220","Urban",0,4,"Official"
"221","Urban",1,6,"Official"
"222","Urban",0,4,"Official"
"223","Urban",7,17,"Official"
"224","Urban",4,10,"Official"
"225","Urban",0,2,"Official"
"226","Urban",2,1,"Official"
"227","Urban",2,7,"Official"
"228","Urban",1,2,"Official"
"229","Urban",1,5,"Official"
"230","Urban",1,2,"Official"
"231","Urban",1,6,"Official"
"232","Urban",0,2,"Official"
"233","Urban",2,0,"Official"
"234","Urban",1,3,"Official"
"235","Urban",0,4,"Official"
"236","Urban",2,3,"Official"
"237","Urban",0,2,"Official"
"238","Rural",0,1,"Official"
"239","Urban",1,1,"Official"
"240","Urban",0,2,"Official"
"241","Urban",1,3,"Official"
"242","Urban",0,7,"Official"
"243","Urban",2,1,"Official"
"244","Urban",0,1,"Official"
"245","Urban",0,1,"Official"
"246","Urban",0,2,"Official"
"247","Urban",3,5,"Official"
"248","Urban",3,3,"Official"
"249","Urban",2,11,"Official"
"250","Urban",0,1,"Official"
"251","Urban",1,5,"Official"
"252","Urban",1,4,"Official"
"253","Urban",1,5,"Official"
"254","Rural",0,0,"Official"
"255","Urban",0,1,"Official"
"256","Urban",0,0,"Official"
"257","Urban",1,2,"Official"
"258","Urban",1,0,"Official"
"259","Urban",2,1,"Official"
"260","Urban",2,3,"Official"
"261","Urban",1,1,"Official"
"262","Urban",1,0,"Official"
"263","Urban",1,1,"Official"
"264","Urban",5,12,"Official"
"265","Urban",1,0,"Official"
