"","lu_rail_dlr","recorded_date","committed_date_time","source","crime_desc","victim_gender","age","diff","age_n","victim_year_of_birth","historic","futurecrimes"
"4444","National Rail",2017-02-10,2017-02-10 14:10:00,"Other 3rd party reporting","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-14H -10M 0S,NA,NA,0,0
"4445","National Rail",2017-02-10,2017-02-10 14:11:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,-14H -11M 0S,NA,NA,0,0
"4446","National Rail",2017-02-11,2014-11-30 12:00:00,"Email to the police","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,2y 2m 11d 12H 0M 0S,41,1973,1,0
"4447","London Underground",2017-02-11,2017-02-10 23:55:00,"Non-emergency telephone call e.g. (101)","E14  Sexual Offences - Committing An Act Outraging Public Decency (E14)","Regina Offence",NA,5M 0S,NA,NA,0,0
"4448","Docklands Light Railways",2017-02-11,2017-02-11 22:09:00,"Text message to the Police","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-22H -9M 0S,36,1981,0,0
"4449","London Underground",2017-02-12,2017-02-12 04:42:00,"Non-emergency telephone call e.g. (101)","E20  Sexual Assault On A Male Aged 13 And Over No Penetration (E20)","Male",NA,-4H -42M 0S,25,1992,0,0
"4450","London Underground",2017-02-12,2017-02-12 04:51:00,"Non-emergency telephone call e.g. (101)","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-4H -51M 0S,23,1994,0,0
"4451","London Underground",2017-02-12,2017-02-12 05:02:00,"Reported in person - Outside police station","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-5H -2M 0S,NA,NA,0,0
"4452","London Underground",2017-02-12,2017-02-12 05:02:00,"Reported in person - Outside police station","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-5H -2M 0S,NA,NA,0,0
"4453","National Rail",2017-02-12,2017-02-12 22:10:00,"Other 3rd party reporting","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,-22H -10M 0S,23,1994,0,0
"4454","National Rail",2017-02-13,2017-02-09 17:30:00,"Email to the police","E28  Sexual Assault On A Female Aged 13 And Over No Penetration (E28)","Female",NA,3d 6H 30M 0S,26,1991,1,0
