"","lu_rail_dlr","recorded_date","committed_date_time","source","crime_desc","victim_gender","age","diff","age_n","victim_year_of_birth","historic","futurecrimes"
"1","LONDON UNDERGROUND",2016-02-24,2016-01-26 18:40:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","26",28d 5H 20M 0S,26,1990,1,0
"2","NATIONAL RAIL",2016-02-24,2016-02-21 08:45:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,2d 15H 15M 0S,NA,NA,1,0
"3","NATIONAL RAIL",2016-02-25,2016-02-19 21:28:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",5d 2H 32M 0S,NA,NA,1,0
"4","NATIONAL RAIL",2016-02-25,2016-02-19 22:30:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","17",5d 1H 30M 0S,17,1999,1,0
"5","LONDON UNDERGROUND",2016-02-25,2016-02-19 23:15:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",5d 0H 45M 0S,25,1991,1,0
"6","DLR",2016-02-25,2016-02-21 11:42:00,"Rail non emergency","Exposure","F","52",3d 12H 18M 0S,52,1964,1,0
"7","LONDON UNDERGROUND",2016-02-25,2016-02-24 23:30:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","37",30M 0S,37,1979,0,0
"8","LONDON UNDERGROUND",2016-02-25,2016-02-25 17:30:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-17H -30M 0S,NA,NA,0,0
"9","NATIONAL RAIL",2016-02-25,2016-02-24 14:40:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration",NA,"Not Known",9H 20M 0S,NA,NA,0,0
"10","NATIONAL RAIL",2016-02-25,2016-02-19 21:05:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",5d 2H 55M 0S,28,1988,1,0
"11","LONDON UNDERGROUND",2016-02-26,2016-02-25 19:08:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","33",4H 52M 0S,33,1983,0,0
"12","LONDON UNDERGROUND",2016-02-26,2016-02-22 08:55:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",3d 15H 5M 0S,NA,NA,1,0
"13","LONDON UNDERGROUND",2016-02-26,2016-02-17 07:00:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",8d 17H 0M 0S,24,1992,1,0
"14","LONDON UNDERGROUND",2016-02-26,2016-02-21 17:30:00,"Email","Sexual Assault On A Female Aged 13 And Over No Penetration","F","16",4d 6H 30M 0S,16,2000,1,0
"15","LONDON UNDERGROUND",2016-02-26,2016-02-23 08:30:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",2d 15H 30M 0S,20,1996,1,0
"16","NATIONAL RAIL",2016-02-26,2016-02-23 15:00:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",2d 9H 0M 0S,NA,NA,1,0
"17","LONDON UNDERGROUND",2016-02-27,2016-02-18 08:00:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,8d 16H 0M 0S,NA,NA,1,0
"18","NATIONAL RAIL",2016-02-27,2016-02-25 00:05:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,1d 23H 55M 0S,NA,NA,1,0
"19","NATIONAL RAIL",2016-02-27,2012-07-22 08:59:00,"Not Stated","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,3y 7m 4d 15H 1M 0S,NA,NA,1,0
"20","NATIONAL RAIL",2016-02-28,2016-02-28 07:10:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","41",-7H -10M 0S,41,1975,0,0
"21","DLR",2016-02-28,2016-02-28 17:03:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration",NA,"Not Known",-17H -3M 0S,NA,NA,0,0
"22","LONDON UNDERGROUND",2016-02-29,2016-02-24 17:55:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,4d 6H 5M 0S,NA,NA,1,0
"23","LONDON UNDERGROUND",2016-02-29,2016-02-24 22:03:00,"Other police force","Sexual Offences - Committing An Act Outraging Public Decency","Regina offence",NA,4d 1H 57M 0S,NA,NA,1,0
"24","NATIONAL RAIL",2016-02-29,2016-02-27 05:53:00,"HO Police","Sexual Assault On A Male Aged 13 And Over No Penetration","M","Not Known",1d 18H 7M 0S,NA,NA,1,0
"25","NATIONAL RAIL",2016-02-29,2016-02-24 20:55:00,"Text","Exposure","F","36",4d 3H 5M 0S,36,1980,1,0
"26","NATIONAL RAIL",2016-02-29,2016-02-29 08:40:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",-8H -40M 0S,28,1988,0,0
"27","LONDON UNDERGROUND",2016-02-29,2016-02-22 19:20:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",6d 4H 40M 0S,30,1986,1,0
"28","LONDON UNDERGROUND",2016-03-01,2016-02-27 23:08:00,"Email","Sexual Assault On A Female Aged 13 And Over No Penetration","F","32",2d 0H 52M 0S,32,1984,1,0
"29","LONDON UNDERGROUND",2016-03-01,2016-02-29 09:00:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","22",15H 0M 0S,22,1994,0,0
"30","NATIONAL RAIL",2016-03-01,2016-03-01 07:08:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-7H -8M 0S,29,1987,0,0
"31","LONDON UNDERGROUND",2016-03-02,2016-03-02 09:33:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","16",-9H -33M 0S,16,2000,0,0
"32","LONDON UNDERGROUND",2016-03-02,2016-02-26 23:00:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",4d 1H 0M 0S,30,1986,1,0
"33","LONDON UNDERGROUND",2016-03-02,2015-11-30 22:49:00,"Rail non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,3m 1d 1H 11M 0S,NA,NA,1,0
"34","DLR",2016-03-02,2016-02-29 18:00:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",1d 6H 0M 0S,25,1991,1,0
"35","LONDON UNDERGROUND",2016-03-02,2016-03-02 18:20:00,"BTP","Sexual Assault On A Male Aged 13 And Over No Penetration","M","27",-18H -20M 0S,27,1989,0,0
"36","LONDON UNDERGROUND",2016-03-03,2016-03-03 08:10:00,"CAD","Sexual Assault On A Female Child Under 13 No Penetration","F","14",-8H -10M 0S,14,2002,0,0
"37","NATIONAL RAIL",2016-03-03,2016-03-03 14:18:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-14H -18M 0S,NA,NA,0,0
"38","LONDON UNDERGROUND",2016-03-03,2016-03-03 18:44:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-18H -44M 0S,29,1987,0,0
"39","LONDON UNDERGROUND",2016-03-04,2016-03-03 10:25:00,"CAD","Exposure","F","Not Known",13H 35M 0S,NA,NA,0,0
"40","LONDON UNDERGROUND",2016-03-04,2016-03-03 18:27:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",5H 33M 0S,NA,NA,0,0
"41","LONDON UNDERGROUND",2016-03-04,2016-03-04 18:35:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,-18H -35M 0S,NA,NA,0,0
"42","LONDON UNDERGROUND",2016-03-04,2016-03-04 19:00:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",-19H 0M 0S,23,1993,0,0
"43","LONDON UNDERGROUND",2016-03-04,2016-03-04 18:20:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-18H -20M 0S,NA,NA,0,0
"44","LONDON UNDERGROUND",2016-03-05,2016-03-05 11:55:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",-11H -55M 0S,28,1988,0,0
"45","LONDON UNDERGROUND",2016-03-05,2016-03-05 12:00:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","18",-12H 0M 0S,18,1998,0,0
"46","NATIONAL RAIL",2016-03-06,2016-03-05 08:55:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","49",15H 5M 0S,49,1967,0,0
"47","NATIONAL RAIL",2016-03-06,2016-03-06 17:00:00,"HO Police","Exposure","F","Not Known",-17H 0M 0S,NA,NA,0,0
"48","LONDON UNDERGROUND",2016-03-06,2016-03-05 12:02:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","27",11H 58M 0S,27,1989,0,0
"49","LONDON UNDERGROUND",2016-03-07,2016-03-07 12:40:00,"Rail non emergency","Exposure","F","28",-12H -40M 0S,28,1988,0,0
"50","LONDON UNDERGROUND",2016-03-07,2016-03-06 22:15:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",1H 45M 0S,29,1987,0,0
"51","LONDON UNDERGROUND",2016-03-08,2016-03-08 09:00:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","27",-9H 0M 0S,27,1989,0,0
"52","LONDON UNDERGROUND",2016-03-08,2016-03-07 10:19:00,"Text","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,13H 41M 0S,NA,NA,0,0
"53","LONDON UNDERGROUND",2016-03-08,2016-03-05 17:28:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",2d 6H 32M 0S,NA,NA,1,0
"54","LONDON UNDERGROUND",2016-03-08,2016-03-07 22:08:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",1H 52M 0S,NA,NA,0,0
"55","NATIONAL RAIL",2016-03-08,NA,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",NA,NA,NA,NA,NA
"56","NATIONAL RAIL",2016-03-08,2016-03-08 18:20:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","33",-18H -20M 0S,33,1983,0,0
"57","LONDON UNDERGROUND",2016-03-08,2016-03-08 09:58:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-9H -58M 0S,NA,NA,0,0
"58","LONDON UNDERGROUND",2016-03-08,2016-03-08 18:15:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",-18H -15M 0S,20,1996,0,0
"59","NATIONAL RAIL",2016-03-09,2016-03-08 22:40:00,"Public non emergency","Exposure","M","25",1H 20M 0S,25,1991,0,0
"60","LONDON UNDERGROUND",2016-03-09,2016-03-08 18:50:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","18",5H 10M 0S,18,1998,0,0
"61","LONDON UNDERGROUND",2016-03-09,2016-03-07 23:59:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,1d 0H 1M 0S,NA,NA,1,0
"62","LONDON UNDERGROUND",2016-03-09,2016-03-09 16:25:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-16H -25M 0S,29,1987,0,0
"63","NATIONAL RAIL",2016-03-09,2016-03-09 16:07:00,"Rail non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,-16H -7M 0S,NA,NA,0,0
"64","LONDON UNDERGROUND",2016-03-09,2016-03-09 18:35:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",-18H -35M 0S,25,1991,0,0
"65","LONDON UNDERGROUND",2016-03-09,2016-03-09 21:58:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",-21H -58M 0S,24,1992,0,0
"66","LONDON UNDERGROUND",2016-03-10,2016-03-09 08:00:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","14",16H 0M 0S,14,2002,0,0
"67","LONDON UNDERGROUND",2016-03-10,2016-03-08 08:15:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",1d 15H 45M 0S,24,1992,1,0
"68","NATIONAL RAIL",2016-03-10,2016-03-10 08:35:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","33",-8H -35M 0S,33,1983,0,0
"69","NATIONAL RAIL",2016-03-10,2016-03-09 18:31:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",5H 29M 0S,30,1986,0,0
"70","LONDON UNDERGROUND",2016-03-11,2016-03-10 08:45:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","27",15H 15M 0S,27,1989,0,0
"71","LONDON UNDERGROUND",2016-03-11,2016-03-10 08:30:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",15H 30M 0S,NA,NA,0,0
"72","NATIONAL RAIL",2016-03-11,2016-03-10 21:51:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","60",2H 9M 0S,60,1956,0,0
"73","LONDON UNDERGROUND",2016-03-11,2016-03-11 17:50:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,-17H -50M 0S,NA,NA,0,0
"74","NATIONAL RAIL",2016-03-11,2016-03-10 18:00:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","17",6H 0M 0S,17,1999,0,0
"75","LONDON UNDERGROUND",2016-03-12,2016-03-10 07:20:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","37",1d 16H 40M 0S,37,1979,1,0
"76","LONDON UNDERGROUND",2016-03-12,2016-03-11 01:02:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","39",22H 58M 0S,39,1977,0,0
"77","LONDON UNDERGROUND",2016-03-12,2016-03-12 18:15:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-18H -15M 0S,29,1987,0,0
"78","LONDON UNDERGROUND",2016-03-12,2016-03-12 16:55:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",-16H -55M 0S,25,1991,0,0
"79","NATIONAL RAIL",2016-03-12,2016-03-10 08:40:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",1d 15H 20M 0S,28,1988,1,0
"80","LONDON UNDERGROUND",2016-03-13,2016-03-13 14:30:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",-14H -30M 0S,30,1986,0,0
"81","LONDON UNDERGROUND",2016-03-13,2016-03-13 16:45:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",-16H -45M 0S,23,1993,0,0
"82","LONDON UNDERGROUND",2016-03-14,2016-03-07 18:54:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",6d 5H 6M 0S,NA,NA,1,0
"83","NATIONAL RAIL",2016-03-14,2016-03-11 12:45:00,"HO Police","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,2d 11H 15M 0S,NA,NA,1,0
"84","LONDON UNDERGROUND",2016-03-14,2016-03-11 08:30:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",2d 15H 30M 0S,29,1987,1,0
"85","NATIONAL RAIL",2016-03-14,2016-03-14 09:15:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","19",-9H -15M 0S,19,1997,0,0
"86","NATIONAL RAIL",2016-03-14,2016-03-14 12:42:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","51",-12H -42M 0S,51,1965,0,0
"87","LONDON UNDERGROUND",2016-03-14,2016-03-14 08:20:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","49",-8H -20M 0S,49,1967,0,0
"88","NATIONAL RAIL",2016-03-14,2016-03-14 16:28:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",-16H -28M 0S,20,1996,0,0
"89","NATIONAL RAIL",2016-03-14,2016-03-14 07:00:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","19",-7H 0M 0S,19,1997,0,0
"90","NATIONAL RAIL",2016-03-14,2016-03-01 20:15:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration",NA,"31",12d 3H 45M 0S,31,1985,1,0
"91","NATIONAL RAIL",2016-03-14,2016-03-14 19:13:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",-19H -13M 0S,20,1996,0,0
"92","NATIONAL RAIL",2016-03-14,2016-03-12 22:00:00,"CAD","Assault On A Female Aged Over 13 By Penetration","F","19",1d 2H 0M 0S,19,1997,1,0
"93","LONDON UNDERGROUND",2016-03-15,2016-03-15 11:30:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-11H -30M 0S,29,1987,0,0
"94","NATIONAL RAIL",2016-03-15,2016-03-15 08:50:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",-8H -50M 0S,24,1992,0,0
"95","NATIONAL RAIL",2016-03-15,2016-01-14 09:30:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",2m 0d 14H 30M 0S,23,1993,1,0
"96","LONDON UNDERGROUND",2016-03-15,2016-03-15 18:20:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",-18H -20M 0S,23,1993,0,0
"97","NATIONAL RAIL",2016-03-15,2016-03-15 18:40:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","18",-18H -40M 0S,18,1998,0,0
"98","NATIONAL RAIL",2016-03-15,2016-03-15 18:40:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","19",-18H -40M 0S,19,1997,0,0
"99","NATIONAL RAIL",2016-03-15,2016-03-15 18:40:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","19",-18H -40M 0S,19,1997,0,0
"100","LONDON UNDERGROUND",2016-03-16,2016-03-15 18:28:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","19",5H 32M 0S,19,1997,0,0
"101","LONDON UNDERGROUND",2016-03-16,2016-03-15 18:28:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",5H 32M 0S,20,1996,0,0
"102","NATIONAL RAIL",2016-03-16,2016-03-15 16:34:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",7H 26M 0S,NA,NA,0,0
"103","LONDON UNDERGROUND",2016-03-16,2016-03-15 07:35:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","55",16H 25M 0S,55,1961,0,0
"104","LONDON UNDERGROUND",2016-03-16,2016-03-15 13:55:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",10H 5M 0S,28,1988,0,0
"105","LONDON UNDERGROUND",2016-03-16,2015-03-15 15:20:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","19",1y 0m 0d 8H 40M 0S,19,1996,1,0
"106","NATIONAL RAIL",2016-03-16,2016-03-13 00:20:00,"Email","Sexual Assault On A Female Aged 13 And Over No Penetration","F","18",2d 23H 40M 0S,18,1998,1,0
"107","NATIONAL RAIL",2016-03-16,2016-03-16 09:00:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-9H 0M 0S,29,1987,0,0
"108","LONDON UNDERGROUND",2016-03-16,2016-03-16 17:53:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",-17H -53M 0S,20,1996,0,0
"109","LONDON UNDERGROUND",2016-03-16,2016-03-16 18:45:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-18H -45M 0S,NA,NA,0,0
"110","NATIONAL RAIL",2016-03-17,1984-12-31 23:59:00,"HO Police","Rape Of A Male Aged 16 And Over",NA,"17",31y 2m 16d 0H 1M 0S,17,1967,1,0
"111","NATIONAL RAIL",2016-03-17,2016-03-16 22:13:00,"BTP","Exposure","M","Not Known",1H 47M 0S,NA,NA,0,0
"112","LONDON UNDERGROUND",2016-03-18,2016-03-17 17:47:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",6H 13M 0S,NA,NA,0,0
"113","LONDON UNDERGROUND",2016-03-18,2016-03-18 09:40:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration",NA,"Not Known",-9H -40M 0S,NA,NA,0,0
"114","LONDON UNDERGROUND",2016-03-18,2016-03-18 08:35:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",-8H -35M 0S,24,1992,0,0
"115","NATIONAL RAIL",2016-03-19,2016-03-15 08:23:00,"Public non emergency","Sexual Assault On A Male Aged 13 And Over No Penetration","M","Not Known",3d 15H 37M 0S,NA,NA,1,0
"116","NATIONAL RAIL",2016-03-19,2016-03-16 22:45:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",2d 1H 15M 0S,NA,NA,1,0
"117","NATIONAL RAIL",2016-03-19,2015-10-07 12:00:00,"Email","Sexual Assault On A Male Aged 13 And Over No Penetration","M","55",5m 11d 12H 0M 0S,55,1960,1,0
"118","LONDON UNDERGROUND",2016-03-19,2016-02-08 16:57:00,"Rail non emergency","Exposure","F","Not Known",1m 10d 7H 3M 0S,NA,NA,1,0
"119","LONDON UNDERGROUND",2016-03-19,2016-03-19 19:13:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-19H -13M 0S,NA,NA,0,0
"120","NATIONAL RAIL",2016-03-19,2016-03-19 21:00:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","22",-21H 0M 0S,22,1994,0,0
"121","LONDON UNDERGROUND",2016-03-20,2016-03-19 19:14:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",4H 46M 0S,29,1987,0,0
"122","NATIONAL RAIL",2016-03-20,2016-03-18 19:20:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","22",1d 4H 40M 0S,22,1994,1,0
"123","LONDON UNDERGROUND",2016-03-20,2016-03-19 00:45:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","26",23H 15M 0S,26,1990,0,0
"124","LONDON UNDERGROUND",2016-03-20,2016-03-18 21:00:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",1d 3H 0M 0S,30,1986,1,0
"125","LONDON UNDERGROUND",2016-03-21,2016-03-18 20:50:00,"Email","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",2d 3H 10M 0S,28,1988,1,0
"126","LONDON UNDERGROUND",2016-03-21,2016-03-14 09:23:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","not specified","Not Known",6d 14H 37M 0S,NA,NA,1,0
"127","LONDON UNDERGROUND",2016-03-22,2016-03-21 08:30:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","31",15H 30M 0S,31,1985,0,0
"128","NATIONAL RAIL",2016-03-22,2016-03-21 06:00:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","27",18H 0M 0S,27,1989,0,0
"129","LONDON UNDERGROUND",2016-03-22,2016-03-21 19:30:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","39",4H 30M 0S,39,1977,0,0
"130","NATIONAL RAIL",2016-03-22,2016-03-20 12:09:00,"Text","Exposure","F","67",1d 11H 51M 0S,67,1949,1,0
"131","LONDON UNDERGROUND",2016-03-23,2016-03-22 18:20:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",5H 40M 0S,NA,NA,0,0
"132","LONDON UNDERGROUND",2016-03-23,2016-03-18 22:30:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",4d 1H 30M 0S,23,1993,1,0
"133","LONDON UNDERGROUND",2016-03-23,2016-03-20 21:15:00,"Public non emergency","Exposure","F","35",2d 2H 45M 0S,35,1981,1,0
"134","NATIONAL RAIL",2016-03-23,2016-03-22 00:30:00,"Email","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,23H 30M 0S,NA,NA,0,0
"135","NATIONAL RAIL",2016-03-23,2016-03-23 16:40:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","23",-16H -40M 0S,23,1993,0,0
"136","LONDON UNDERGROUND",2016-03-24,2016-03-24 14:50:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",-14H -50M 0S,24,1992,0,0
"137","NATIONAL RAIL",2016-03-24,2016-03-24 15:27:00,"Rail non emergency","Sexual Assault On A Male Child Under 13 No Penetration","M","12",-15H -27M 0S,12,2004,0,0
"138","LONDON UNDERGROUND",2016-03-24,2016-03-24 10:30:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",-10H -30M 0S,28,1988,0,0
"139","NATIONAL RAIL",2016-03-25,2016-03-24 18:20:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",5H 40M 0S,NA,NA,0,0
"140","DLR",2016-03-25,2016-03-24 23:50:00,"Social media","Sexual Assault On A Male Aged 13 And Over No Penetration","M","29",10M 0S,29,1987,0,0
"141","NATIONAL RAIL",2016-03-25,2016-03-24 21:29:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration",NA,"Not Known",2H 31M 0S,NA,NA,0,0
"142","NATIONAL RAIL",2016-03-25,2016-03-17 19:50:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",7d 4H 10M 0S,28,1988,1,0
"143","NATIONAL RAIL",2016-03-25,2016-03-25 18:50:00,"Public non emergency","Exposure","F","21",-18H -50M 0S,21,1995,0,0
"144","NATIONAL RAIL",2016-03-26,2016-03-22 23:20:00,"Public non emergency","Voyeurism","M","20",3d 0H 40M 0S,20,1996,1,0
"145","NATIONAL RAIL",2016-03-27,2016-03-26 21:49:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",2H 11M 0S,NA,NA,0,0
"146","NATIONAL RAIL",2016-03-27,2016-03-25 20:35:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,1d 3H 25M 0S,NA,NA,1,0
"147","LONDON UNDERGROUND",2016-03-29,2016-03-28 20:46:00,"Text","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,3H 14M 0S,NA,NA,0,0
"148","NATIONAL RAIL",2016-03-29,2016-03-29 18:55:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","18",-18H -55M 0S,18,1998,0,0
"149","NATIONAL RAIL",2016-03-30,2016-03-29 17:08:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",6H 52M 0S,NA,NA,0,0
"150","NATIONAL RAIL",2016-03-30,2016-03-29 16:58:00,"Public non emergency","Exposure","F","Not Known",7H 2M 0S,NA,NA,0,0
"151","LONDON UNDERGROUND",2016-03-31,2016-03-30 20:56:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","26",3H 4M 0S,26,1990,0,0
"152","LONDON UNDERGROUND",2016-03-31,2016-03-31 17:12:00,"BTP Radio","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,-17H -12M 0S,NA,NA,0,0
"153","LONDON UNDERGROUND",2016-03-31,2016-03-30 09:17:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","M","Not Known",14H 43M 0S,NA,NA,0,0
